"caption","permalink","timestamp","id"
"Fangko + Coffee And Beer [Sponsored]: 8/10

Indomee holds a special place in my heart. Aside from being the only instant noodles I've ever consumed, indomee was also how my class generated funds for our school festival. I couldn't believe I could relive such nostalgia, especially during a tasting!

Indomie Smash Chimken [Spice Level 5]: 8/10
This is a tasteful way of making instant noodles luxurious. The indomie had the usual sweet umami flavor, with the sambal and minced pork imparting a lingering savory taste to the noodles. The kelopok was perfectly salted, and the crunch went well with the bouncy noodles.

Personally, I enjoyed the spiciness of the indomie as it helped cut through the rich flavors. However, I think ordering above Level 10 would be a huge risk to even the biggest lovers of spice.

Gula Melaka Kopi: 7/10
I love a darker white coffee, and this was just that. The gula melaka provided a slight earthy sweetness without dominating the coffee itself.

Do consider this for brunch if you are ever near Clarke Quay, you won't be disappointed!

Thanks to @fangkocoffee for the tasting :)","https://www.instagram.com/p/C4Lkp_EyrBK/","2024-03-06T17:15:45+0000","18031629346734373"
"Le Shrimp Ramen [Star Vista]: 7.5/10

Soup-based meals are a blessing in our recent nonstop rainy weather. However, one can only eat ban mian and fish soup for so long. This place would be a good way to change up your routine!

Ebiko Prawn Paste  Shrimp Ramen [$16.30]: 7.5/10
The broth was hearty, and the sweetness of the sea permeated each sip. The springy noodles complements the broth perfectly, creating a delicious combination of texture and taste. The juicy and flavorful prawn paste was the icing on the cake. The only drawback of the whole meal was that there wasn't more.

Le Shrimp Ramen is an amazing meal in our gloomy weather, and I implore you to try it if you are ever nearby! Take note that the line for this place gets ridiculously long during peak hours (~15-20 minutes), so come early to get your soul food fix!","https://www.instagram.com/p/C1AOjLTyOHu/","2023-12-18T17:56:30+0000","17959880855693776"
"One Fattened Calf: 8.5/10

This gave Wildfire Burgers a good run for its money, which wasn't something I was expecting to say in 2023.

OFC Cheeseburger ($15.00 + $4.90 set): 8.5/10

This cheeseburger was as good as the one served at Wildfire Burgers. The sweetness of the potato bun complemented the savoriness of the beef, and the tangy sauce helped keep the burger from being too heavy on the palate.
The only problem I personally had was how soggy the bun was. I couldn't overlook the yucky soft texture every time I bit into it. Even though the taste beats Wildfire in both intensity and balance, Wildfire will still be my go-to for a good burger.

I would highly recommend everyone to try both this and Wildfire, and let me know which one you would prefer in the comments below!

CR: @serenemjh","https://www.instagram.com/p/CzEc10AvA4o/","2023-10-31T16:15:33+0000","17876022860982344"
"Fat Cow: 9.5/10

People would not stop raving about this wagyu omakase at Orchard, claiming it to be a culinary experience that should not be missed. Naturally, I had high expectations for the meal.

My expectations were not only met, but far exceeded.

Wagyu Omakase ($290.00) {+$68 for sake pairing} : 9.5/10
No single dish was lacking. From the zensai platter to the wagyu chazuke, each was an absolute treat. In particular, the spring rolls, sukiyaki and yakiniku were the highlight of the evening.

Wagyu Fresh Spring Rolls: 9.3/10
Each spring roll was paired with a different sauce, resulting in what felt like a mini omakase. The egg yolk and cheese roll were delicate and complex in flavours and textures, exactly as an appetiser should be. The sesame and shiso leaf sauce bombarded my taste buds with umami goodness, as though it was a main course. The salted plum sweetness and acidity helped cut through the richness and cleanse the palate, precisely like how a good dessert should be. I appreciated how well-designed the dish was, and it made me more eager for the rest of the night!

Wagyu Sukiyaki & Japanese Beinasu: 9.4/10
This was my most anticipated dish of the night, and it certainly delivered! The sweetness and savoury taste of the beef lingers in your mouth, and makes you crave for more. I thought I couldn't be happier.

I was wrong.

Charcoal-grilled Yakiniku-Style Wagyu with Burdock Sauce: 9.6/10
This was the best beef dish I've ever had in my life.
The yakiniku was charred flawlessly, and the rich smoky savory taste was unmatched by anything I've ever had. The maitake mushrooms added an intense earthiness that complemented the robust umami-ness of the beef. The sweet potato elevated the meal with its decadence and intense sweetness. If I had died right there and then, I would have no complaints.

Artisanal Ice Cream ($8) [Matcha]: 9.3/10
I couldn't ask for a better dessert to end the meal. The intense earthy sweetness of matcha is superbly complemented by the airy texture of the ice cream. If matcha isn't for you, the goma and yuzu variants are just as good, if not better.

This is the best meal I've ever had in Singapore. Need I say more?","https://www.instagram.com/p/CxidzjVPs32/","2023-09-23T14:58:24+0000","18260416333164315"
"Bonding Kitchen: 8.5/10

As a lover of Peranakan cuisine, I've always had a penchant for rendang. However, the repeated disappointment from visiting subpar Peranakan restaurants has made me wary of such establishments.
In fact, I probably wouldn't have tried this place if Supply and Demand didn't have a queue that resembled the line for Taylor Swift tickets.

Ngoh Hiang ($20): 8/10
I think this was one of the best Ngoh Hiang I’ve ever had. The skin was perfectly crisp, and the meat was tender and juicy. The delightful balance of sweetness and savoriness, combined with the earthiness of mushrooms, made it an irresistible starter that left me craving for more.

Wagyu Beef Rendang ($37.50): 8/10
The restaurant claims this dish to have ""an insane amount of flavour,"" and I am ashamed for doubting that statement.
Personally, I prefer chicken to beef rendang due to the usual blandness of the latter. However, this was one of the few exceptions. Using wagyu beef helped add even more sweetness to the already rich umami gravy, and made each bite feel truly sinful. If this ever became the reason for my clogged arteries, I would not regret it a single bit.

Sambal Petai with Ikan Bilis ($20) : 8.8/10
The sambal and ikan bilis were as good as the ones found in Malaysian nasi lemak, and that's the biggest compliment I can give.
I hate the taste of petai, but I would order this again in a heartbeat.

I know this place is on the pricier side, but if you like Peranakan food, the bill will be the last thing on your mind.","https://www.instagram.com/p/CvfOhnuPquD/","2023-08-03T15:44:22+0000","17985733220199141"
"Brother's Ramen: 7/10

As someone with high expectations of ramen, this is one of the few places where those expectations can be met. 

Brother's Ramen ($15.90): 7/10
This was the first good bowl of ramen I've had in a while. The broth was extremely rich in umami flavour without being overly salty, and each sip made you want more. The noodles are bouncy and absorb the broth well, and the crunchiness of the bamboo shoots legitimately made me wish I had ordered more.
However, there were a couple of nitpicks I had with the dish. The onsen egg was slightly overcooked, and the chashu could afford to be far more flavourful. 

Overall, it's one of the better bowls of ramen in Singapore. If you find Torasho's fusion dishes not to your liking, this place would be perfect for you!","https://www.instagram.com/p/CuzfDq9v1Es/","2023-07-17T16:02:15+0000","18014643952725122"
"Gotti: 8.8/10

I was ORDERED to review this restaurant after one of my close friends had their birthday celebration here. They couldn't stop raving about how great their food was. Hell, they even scheduled messages periodically to remind me of my obligation.

I'm grateful I have such friends. 

Set Menu [$118]: 9/10

Amuse Bouche: 9.5/10
These are the best scallops I've ever had. The acidic yuzu sauce pairs perfectly with the sweetness of the scallops, which just melt in your mouth. The only problem is that I couldn't have more.

Fegato D’Anatra: 8/10
The sweetness of the pear, onions and beetroot dampens the rich earthiness of the liver. Some might find it disappointing, but I enjoyed this balanced take on what is a normally decadent dish.

Risotto Al Gamberi: 9/10
My friend, who recently went to Europe, didn't like this dish as it was undercooked and lacked seasoning.
However, as someone who never had risotto, this was amazing. I loved the firmer texture of the rice. I loved the sweetness and savoriness of the lobster bisque. I loved how spice was used to help cut through the rich risotto. I loved this dish.

Dentice: 7/10
The salsa provides acidity and pepperiness, which pairs well with the velvety umami sauce. While it's decent, the main star was the sauce instead of the fish, which is different from how I personally enjoy fish dishes.

Filetto Di Manzo: 7/10
This was a decent tenderloin. My nitpick is that the tenderloin should be better seasoned, as it tasted bland solo.

Tiramisu: 7/10
Even though the tiramisu had far too much cream for my liking, it was still well-balanced due to the liberal use of coffee. A more alcoholic approach would have made it even better.

Signor Gotti ($36): 8.5/10
This is the best pizza I've ever had. The crust is unbelievably crispy, with that distinctive smoky charred taste. It has a perfect cheese pull, and the mild saltiness adds to the flavour. The only flaw is that the beef cheeks taste slightly stale on their own, but the dish as a whole is fantastic.

The service is exquisite, the ambience is terrific, and the food is sublime. Gotti is an experience you can’t refuse.","https://www.instagram.com/p/CuEsWlGvObQ/","2023-06-29T11:54:07+0000","18030918826523496"
"GelatiAmo OneNorth: 8/10
I recently had the pleasure of visiting this gelato outlet, and it was a delightful experience.

Single Cup + Waffle ($12.50): 8/10
While I must confess that I am not usually a big fan of waffles – no thanks to their tendency to both appear and taste like soggy dough – GelatiAmo is a most delectable exception. Their waffles are incredibly crisp, and they paired beautifully with the decadent dark chocolate gelato I ordered.

To all waffle haters, I highly recommend visiting GelatiAmo OneNorth and giving their waffle-gelato combination a chance. Just one bite and it may very well change your mind <3","https://www.instagram.com/p/CpiJvw_vhC5/","2023-03-08T15:51:58+0000","17977557941019884"
"Sugarhall: 8/10

This is the first bar I've ever been to in my 23 years of living. I couldn't ask for better for my first time.

Daiquiri ($22): 7.5/10
I'm not a fan of rum as it's too sweet for my taste. (I prefer whiskey/gin)

Despite that, I thoroughly enjoyed this drink. The sweetness was balanced nicely with the alcohol's fiery burn. After spin class, this was just the drink I needed to wind down my day.

I also want to give a big shoutout to CJ, my bartender for the night. He was great company, and it was a pleasure talking with him at the bar. 

If you enjoy rum, I highly recommend Sugarhall. The ambience and bartenders are both fantastic, and you wouldn't regret your visit!","https://www.instagram.com/p/CoXU7tvPRmD/","2023-02-07T14:26:41+0000","18173090077267449"
"OOTB: 8/10

I can't believe that I've found not one, but TWO of the best burger places in 2022!

Classic Cheese ($13.90): 8/10
The meat is very tender and juicy, and I would consider it even better in texture than the burgers at Wildfire. It's also extremely savoury, and the cheese adds a richness that makes the whole burger decadent.

Personally, I prefer Wildfire as it's more balanced in terms of texture and flavour, but this is easily a close second. The service here is excellent, and I had a fun time talking to the staff while enjoying my lunch :)","https://www.instagram.com/p/CmqwFCTSq0v/","2022-12-27T10:26:40+0000","18025870654445491"
